Date,New Cases,7-Day Moving Avg
Feb 6 2021,107489,119906
Feb 5 2021,130261,124773
Feb 4 2021,124960,129718
Feb 3 2021,121212,134523
Feb 2 2021,116915,139422
Feb 1 2021,125735,143968
Jan 31 2021,112772,145136
Jan 30 2021,141559,149348
Jan 29 2021,164876,153675
Jan 28 2021,158598,157521
Jan 27 2021,155504,161832
Jan 26 2021,148733,166496
Jan 25 2021,133913,166292
Jan 24 2021,142259,168378
Jan 23 2021,171844,174620
Jan 22 2021,191799,180520
Jan 21 2021,188772,188416
Jan 20 2021,188156,193984
Jan 19 2021,147304,199364
Jan 18 2021,148518,209376
Jan 17 2021,185949,216701
Jan 16 2021,213145,221692
Jan 15 2021,247071,226754
Jan 14 2021,227746,236329
Jan 13 2021,225815,243708
Jan 12 2021,217393,246895
Jan 11 2021,199793,248367
Jan 10 2021,220887,244702
Jan 9 2021,248578,243503
Jan 8 2021,314093,248706
Jan 7 2021,279401,227970
Jan 6 2021,248121,220860
Jan 5 2021,227698,218412
Jan 4 2021,174136,214659
Jan 3 2021,212496,215185
Jan 2 2021,285002,205770
Jan 1 2021,168939,190728
Dec 31 2020,229634,186472
Dec 30 2020,230982,181279
Dec 29 2020,201428,181102
Dec 28 2020,177814,180400
Dec 27 2020,146593,181374
Dec 26 2020,179707,188737
Dec 25 2020,139152,191928
Dec 24 2020,193277,205773
Dec 23 2020,229746,213604
Dec 22 2020,196516,215251
Dec 21 2020,184632,216523
Dec 20 2020,198129,219580
Dec 19 2020,202050,217459
Dec 18 2020,236063,219527
Dec 17 2020,248095,221141
Dec 16 2020,241272,215235
Dec 15 2020,205421,214268
Dec 14 2020,206033,216821
Dec 13 2020,183285,214198
Dec 12 2020,216520,213267
Dec 11 2020,247365,212342
Dec 10 2020,206749,208135
Dec 9 2020,234504,210467
Dec 8 2020,223296,205508
Dec 7 2020,187672,199559
Dec 6 2020,176766,194712
Dec 5 2020,210045,191471
Dec 4 2020,217919,182078
Dec 3 2020,223070,175759
Dec 2 2020,199790,165231
Dec 1 2020,181653,163191
Nov 30 2020,153743,161267
Nov 29 2020,154080,162041
Nov 28 2020,144294,161360
Nov 27 2020,173683,167484
Nov 26 2020,149378,170536
Nov 25 2020,185509,176019
Nov 24 2020,168182,173502
Nov 23 2020,159162,173352
Nov 22 2020,149317,172503
Nov 21 2020,187162,165722
Nov 20 2020,195043,167216
Nov 19 2020,187759,165671
Nov 18 2020,167895,161846
Nov 17 2020,167127,158790
Nov 16 2020,153221,154835
Nov 15 2020,101847,150400
Nov 14 2020,197622,151134
Nov 13 2020,184231,136644
Nov 12 2020,160984,129775
Nov 11 2020,146501,124016
Nov 10 2020,139443,118775
Nov 9 2020,122178,111966
Nov 8 2020,106980,107006
Nov 7 2020,96195,111387
Nov 6 2020,136147,110414
Nov 5 2020,120672,105330
Nov 4 2020,109814,101084
Nov 3 2020,91779,97259
Nov 2 2020,87457,94587
Nov 1 2020,137645,91295
Oct 31 2020,89384,80706
Oct 30 2020,100564,79970
Oct 29 2020,90945,77582
Oct 28 2020,83040,75290
Oct 27 2020,73078,72603
Oct 26 2020,64409,70888
Oct 25 2020,63522,70356
Oct 24 2020,84237,68039
Oct 23 2020,83843,63686
Oct 22 2020,74905,61808
Oct 21 2020,64229,60235
Oct 20 2020,61073,59695
Oct 19 2020,60689,57826
Oct 18 2020,47299,55878
Oct 17 2020,53764,55697
Oct 16 2020,70699,55696
Oct 15 2020,63898,53997
Oct 14 2020,60445,52798
Oct 13 2020,47994,51800
Oct 12 2020,47051,50682
Oct 11 2020,46034,49675
Oct 10 2020,53756,48354
Oct 9 2020,58803,47755
Oct 8 2020,55503,46571
Oct 7 2020,53464,45414
Oct 6 2020,40163,44293
Oct 5 2020,40002,44163
Oct 4 2020,36787,43341
Oct 3 2020,49566,43307
Oct 2 2020,50516,43367
Oct 1 2020,47401,42829
Sep 30 2020,45617,42176
Sep 29 2020,39253,41616
Sep 28 2020,34249,43143
Sep 27 2020,36549,43913
Sep 26 2020,49988,44043
Sep 25 2020,46752,42984
Sep 24 2020,42826,43349
Sep 23 2020,41698,43558
Sep 22 2020,49940,43634
Sep 21 2020,39639,41478
Sep 20 2020,37459,40751
Sep 19 2020,42580,40473
Sep 18 2020,49305,40183
Sep 17 2020,44290,39798
Sep 16 2020,42229,38895
Sep 15 2020,34850,37628
Sep 14 2020,34548,36019
Sep 13 2020,35511,34848
Sep 12 2020,40550,34684
Sep 11 2020,46608,35393
Sep 10 2020,37969,35841
Sep 9 2020,33362,36862
Sep 8 2020,23590,37842
Sep 7 2020,26350,40734
Sep 6 2020,34363,41615
Sep 5 2020,45510,42213
Sep 4 2020,49745,41933
Sep 3 2020,45118,41286
Sep 2 2020,40219,41594
Sep 1 2020,43838,42557
Aug 31 2020,32517,41679
Aug 30 2020,38547,41809
Aug 29 2020,43552,41836
Aug 28 2020,45213,42111
Aug 27 2020,47278,42424
Aug 26 2020,46954,42126
Aug 25 2020,37692,42109
Aug 24 2020,33430,42437
Aug 23 2020,38736,43236
Aug 22 2020,45476,43754
Aug 21 2020,47406,45055
Aug 20 2020,45191,46399
Aug 19 2020,46838,47552
Aug 18 2020,39987,48987
Aug 17 2020,39019,51264
Aug 16 2020,42364,51502
Aug 15 2020,54584,52433
Aug 14 2020,56815,52432
Aug 13 2020,53260,53212
Aug 12 2020,56883,53631
