time (s),ADC code,predicted distance (cm)
0.000,547,18
0.001,547,18
0.002,548,18
0.003,548,18
0.004,547,18
0.005,547,18
0.006,548,18
0.007,550,18
0.008,549,18
0.009,589,17
0.010,546,18
0.011,547,18
0.012,547,18
0.013,548,18
0.014,548,18
0.015,548,18
0.016,548,18
0.017,548,18
0.018,548,18
0.019,549,18
0.020,594,17
0.021,589,17
0.022,546,18
0.023,548,18
0.024,549,18
0.025,548,18
0.026,547,18
0.027,547,18
0.028,547,18
0.029,547,18
0.030,549,18
0.031,550,18
0.032,593,17
0.033,550,18
0.034,546,18
0.035,549,18
0.036,549,18
0.037,548,18
0.038,548,18
0.039,548,18
0.040,548,18
0.041,548,18
0.042,548,18
0.043,549,18
0.044,593,17
0.045,546,18
0.046,545,18
0.047,549,18
0.048,547,18
0.049,548,18
0.050,548,18
0.051,548,18
0.052,549,18
0.053,548,18
0.054,548,18
0.055,549,18
0.056,592,17
0.057,545,18
0.058,548,18
0.059,546,18
0.060,547,18
0.061,547,18
0.062,548,18
0.063,548,18
0.064,549,18
0.065,548,18
0.066,548,18
0.067,550,18
0.068,592,17
0.069,548,18
0.070,547,18
0.071,547,18
0.072,547,18
0.073,548,18
0.074,548,18
0.075,549,18
0.076,548,18
0.077,548,18
0.078,548,18
0.079,549,18
0.080,548,18
0.081,555,18
0.082,547,18
0.083,547,18
0.084,547,18
0.085,548,18
0.086,548,18
0.087,548,18
0.088,547,18
0.089,548,18
0.090,548,18
0.091,548,18
0.092,594,17
0.093,550,18
0.094,547,18
0.095,547,18
0.096,547,18
0.097,548,18
0.098,547,18
0.099,547,18
0.100,548,18
0.101,548,18
0.102,549,18
0.103,550,18
0.104,594,17
0.105,546,18
0.106,546,18
0.107,546,18
0.108,548,18
0.109,547,18
0.110,547,18
0.111,547,18
0.112,548,18
0.113,548,18
0.114,549,18
0.115,549,18
0.116,592,17
0.117,547,18
0.118,546,18
0.119,545,18
0.120,543,19
0.121,544,19
0.122,544,19
0.123,544,19
0.124,545,18
0.125,545,18
0.126,544,19
0.127,546,18
0.128,587,17
0.129,543,19
0.130,545,18
0.131,544,19
0.132,543,19
0.133,544,19
0.134,544,19
0.135,544,19
0.136,545,18
0.137,544,19
0.138,544,19
0.139,545,18
0.140,586,17
0.141,545,18
0.142,543,19
0.143,543,19
0.144,544,19
0.145,544,19
0.146,544,19
0.147,545,18
0.148,544,19
0.149,545,18
0.150,544,19
0.151,583,17
0.152,545,18
0.153,542,19
0.154,543,19
0.155,544,19
0.156,544,19
0.157,544,19
0.158,542,19
0.159,541,19
0.160,541,19
0.161,541,19
0.162,541,19
0.163,541,19
0.164,584,17
0.165,538,19
0.166,539,19
0.167,540,19
0.168,540,19
0.169,542,19
0.170,541,19
0.171,541,19
0.172,541,19
0.173,541,19
0.174,541,19
0.175,538,19
0.176,580,17
0.177,535,19
0.178,535,19
0.179,537,19
0.180,538,19
0.181,537,19
0.182,537,19
0.183,537,19
0.184,537,19
0.185,538,19
0.186,535,19
0.187,535,19
0.188,576,17
0.189,532,19
0.190,533,19
0.191,534,19
0.192,533,19
0.193,534,19
0.194,533,19
0.195,534,19
0.196,534,19
0.197,535,19
0.198,534,19
0.199,564,18
0.200,576,17
0.201,531,19
0.202,534,19
0.203,533,19
0.204,534,19
0.205,534,19
0.206,533,19
0.207,533,19
0.208,535,19
0.209,534,19
0.210,534,19
0.211,579,17
0.212,576,17
0.213,534,19
0.214,532,19
0.215,529,19
0.216,529,19
0.217,530,19
0.218,530,19
0.219,531,19
0.220,531,19
0.221,530,19
0.222,531,19
0.223,576,17
0.224,531,19
0.225,528,19
0.226,526,19
0.227,526,19
0.228,526,19
0.229,526,19
0.230,528,19
0.231,527,19
0.232,527,19
0.233,527,19
0.234,527,19
0.235,572,18
0.236,528,19
0.237,525,19
0.238,526,19
0.239,526,19
0.240,527,19
0.241,527,19
0.242,523,19
0.243,523,19
0.244,523,19
0.245,523,19
0.246,523,19
0.247,524,19
0.248,565,18
0.249,521,19
0.250,523,19
0.251,523,19
0.252,524,19
0.253,524,19
0.254,524,19
0.255,523,19
0.256,523,19
0.257,523,19
0.258,521,19
0.259,564,18
0.260,562,18
0.261,517,20
0.262,519,20
0.263,520,19
0.264,521,19
0.265,520,19
0.266,519,20
0.267,520,19
0.268,520,19
0.269,521,19
0.270,520,19
0.271,565,18
0.272,561,18
0.273,519,20
0.274,519,20
0.275,517,20
0.276,516,20
0.277,516,20
0.278,516,20
0.279,516,20
0.280,517,20
0.281,517,20
0.282,516,20
0.283,561,18
0.284,557,18
0.285,515,20
0.286,514,20
0.287,512,20
0.288,512,20
0.289,512,20
0.290,512,20
0.291,514,20
0.292,514,20
0.293,513,20
0.294,513,20
0.295,558,18
0.296,513,20
0.297,510,20
0.298,507,20
0.299,508,20
0.300,508,20
0.301,509,20
0.302,509,20
0.303,510,20
0.304,509,20
0.305,509,20
0.306,509,20
0.307,552,18
0.308,510,20
0.309,508,20
0.310,507,20
0.311,508,20
0.312,509,20
0.313,509,20
0.314,507,20
0.315,505,20
0.316,506,20
0.317,506,20
0.318,506,20
0.319,507,20
0.320,519,20
0.321,504,20
0.322,505,20
0.323,505,20
0.324,505,20
0.325,502,20
0.326,502,20
0.327,501,20
0.328,502,20
0.329,502,20
0.330,503,20
0.331,547,18
0.332,506,20
0.333,501,20
0.334,502,20
0.335,501,20
0.336,499,20
0.337,498,20
0.338,498,20
0.339,499,20
0.340,498,20
0.341,499,20
0.342,498,20
0.343,541,19
0.344,496,21
0.345,496,21
